ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-05-28,6.982611287369189,6.593718410338895,8.56471930245834,6.982611287369189,6.982611287369189,0.5966418183778694,0.5966418183778694,0.5966418183778694,0.10754937908355493,0.10754937908355493,0.10754937908355493,0.4890924392943145,0.4890924392943145,0.4890924392943145,0.0,0.0,0.0,7.579253105747059
2018-05-29,6.983005160322352,6.444646311465823,8.63226792939642,6.983005160322352,6.983005160322352,0.5643171701304599,0.5643171701304599,0.5643171701304599,0.09808678147122118,0.09808678147122118,0.09808678147122118,0.4662303886592387,0.4662303886592387,0.4662303886592387,0.0,0.0,0.0,7.547322330452812
2018-05-30,6.983399033275515,6.570720376093276,8.500442616171147,6.983399033275515,6.983399033275515,0.5724624505496873,0.5724624505496873,0.5724624505496873,0.1306351233612073,0.1306351233612073,0.1306351233612073,0.44182732718847995,0.44182732718847995,0.44182732718847995,0.0,0.0,0.0,7.555861483825202
2018-05-31,6.983792906228678,6.4851130418255325,8.59002202051976,6.983792906228678,6.983792906228678,0.5536314140392202,0.5536314140392202,0.5536314140392202,0.1375642800001392,0.1375642800001392,0.1375642800001392,0.41606713403908097,0.41606713403908097,0.41606713403908097,0.0,0.0,0.0,7.537424320267898
2018-06-01,6.98418677918184,6.505515841762859,8.625742222688944,6.98418677918184,6.98418677918184,0.5259065310752343,0.5259065310752343,0.5259065310752343,0.13675406878432045,0.13675406878432045,0.13675406878432045,0.3891524622909138,0.3891524622909138,0.3891524622909138,0.0,0.0,0.0,7.510093310257075
2018-06-04,6.985368398041328,6.314220945883644,8.451070309773629,6.985368398041328,6.985368398041328,0.4112284426882817,0.4112284426882817,0.4112284426882817,0.10754937908383005,0.10754937908383005,0.10754937908383005,0.3036790636044517,0.3036790636044517,0.3036790636044517,0.0,0.0,0.0,7.39659684072961
2018-06-05,6.98576227099449,6.320937427986688,8.405373114256147,6.98576227099449,6.98576227099449,0.37245102511639516,0.37245102511639516,0.37245102511639516,0.09808678147136411,0.09808678147136411,0.09808678147136411,0.2743642436450311,0.2743642436450311,0.2743642436450311,0.0,0.0,0.0,7.358213296110885
2018-06-06,6.986156143947656,6.307482034257369,8.453769447327325,6.986156143947656,6.986156143947656,0.3756418040014542,0.3756418040014542,0.3756418040014542,0.13063512335991764,0.13063512335991764,0.13063512335991764,0.24500668064153652,0.24500668064153652,0.24500668064153652,0.0,0.0,0.0,7.3617979479491105
2018-06-07,6.993250376289858,6.314001434701665,8.471121921944425,6.993250376289858,6.993250376289858,0.353378294556645,0.353378294556645,0.353378294556645,0.13756428000082216,0.13756428000082216,0.13756428000082216,0.21581401455582291,0.21581401455582291,0.21581401455582291,0.0,0.0,0.0,7.346628670846503
2018-06-08,7.000344608632058,6.322019641481675,8.345721494552873,7.000344608632058,7.000344608632058,0.3237333649183294,0.3237333649183294,0.3237333649183294,0.13675406878525911,0.13675406878525911,0.13675406878525911,0.1869792961330703,0.1869792961330703,0.1869792961330703,0.0,0.0,0.0,7.324077973550387
